habitation_code,name,district,state,latitude,longitude,population,households,area_sq_km,elevation_m,slope_deg,aspect,soil_type,land_use,annual_rainfall_mm,distance_to_river_m,distance_to_road_m,distance_to_hospital_m,water_availability_index,housing_quality_index,safe_land_area_sq_km,water_capacity_persons,healthcare_capacity_persons,road_capacity_persons,flood_history_count,landslide_history_count
HAB001,Dharchula Lower,Chamoli,Uttarakhand,30.8899,78.9898,1293,236,3.21,2579.0,8.4,West,Clay-Loam,Residential,1315.5,852.7,3933.0,13996.4,79.4,72.1,1.15,1240,898,1804,3,0
HAB002,Berinag Ridge,Uttarkashi,Uttarakhand,30.3334,78.9306,2907,627,2.02,1485.9,18.4,South,Clay-Loam,Forest Fringe Settlement,2156.7,480.7,5998.8,2996.6,56.1,67.7,1.2,2585,1844,2196,2,0
HAB003,Didihat Sector 2,Chamoli,Uttarakhand,31.0264,80.233,3263,671,3.04,1497.9,19.4,South-East,Rocky Slates,Forest Fringe Settlement,3254.3,2285.7,3978.9,5102.0,80.1,39.8,1.03,4540,3093,3737,2,0
HAB004,Srinagar Upper,Rudraprayag,Uttarakhand,30.9862,80.1101,3436,708,1.34,2683.0,39.2,South-West,Silt-Clay,Forest Fringe Settlement,2248.2,3102.2,4196.4,4457.5,47.7,74.7,0.56,4114,2748,4009,0,0
HAB005,Karnaprayag Khet,Pithoragarh,Uttarakhand,30.1091,78.5942,1048,223,1.14,2145.0,28.3,West,Moraine Soil,Forest Fringe Settlement,3391.1,1875.4,6313.5,20825.8,40.6,73.2,0.56,1078,719,1270,0,1
HAB006,Nandaprayag Basti,Pithoragarh,Uttarakhand,30.0039,79.9442,2307,400,3.55,1790.7,9.2,South,Alluvial Deposits,Forest Fringe Settlement,1557.5,1340.0,1092.0,22939.8,90.7,85.1,1.6,2285,1334,2284,3,0
HAB007,Badrinath Upper,Rudraprayag,Uttarakhand,31.0536,80.3939,851,156,3.76,2754.9,25.8,East,Silt-Clay,Forest Fringe Settlement,2193.1,1946.8,1759.6,21091.5,63.3,42.7,1.58,1007,545,807,2,3
HAB008,Ghat Ghar,Tehri Garhwal,Uttarakhand,30.5418,78.9958,674,136,2.85,1221.7,13.6,North-East,Clay-Loam,Residential,1255.0,158.4,2181.3,12922.8,55.3,59.1,1.2,794,753,782,0,0
HAB009,Pauri Ridge,Rudraprayag,Uttarakhand,30.1132,79.818,3052,604,2.37,2244.6,31.3,North-East,Clay-Loam,Agricultural-Residential,2774.9,2812.0,754.8,5568.3,69.5,38.4,0.57,2960,3394,2320,3,4
HAB010,Lansdowne Khet,Chamoli,Uttarakhand,30.0607,80.4986,270,46,4.21,2489.8,11.5,North-West,Moraine Soil,Residential,3088.7,3163.4,1111.9,1249.1,61.5,85.6,2.28,223,266,346,3,1
HAB011,Munsyari Ghar,Rudraprayag,Uttarakhand,30.2279,78.9354,629,119,2.67,2283.3,7.2,North-West,Alluvial Deposits,Forest Fringe Settlement,1462.1,3364.7,566.7,5436.8,72.7,70.5,0.71,437,706,564,1,0
HAB012,Bhatwari Lower,Pithoragarh,Uttarakhand,30.7888,79.6305,2741,479,1.32,2218.2,14.3,West,Silt-Clay,Forest Fringe Settlement,2584.7,1627.4,6042.2,22534.7,40.5,67.3,0.57,1863,2402,3028,0,0
HAB013,Rishikesh Lower,Rudraprayag,Uttarakhand,30.4434,78.8155,4600,849,2.95,2773.8,30.5,North,Alluvial Deposits,Agricultural-Residential,3243.0,407.4,5713.9,7229.8,88.9,74.5,0.67,3796,2978,4481,2,3
HAB014,Lansdowne Sector 2,Tehri Garhwal,Uttarakhand,30.5862,80.3107,566,122,2.19,1317.2,5.1,East,Rocky Slates,Residential,2804.8,1953.3,2808.6,1420.5,44.1,83.0,1.32,586,613,659,0,0
HAB015,Karnaprayag Upper,Uttarkashi,Uttarakhand,30.4376,80.3662,476,83,1.34,1261.5,9.0,West,Alluvial Deposits,Forest Fringe Settlement,1455.5,3258.1,5626.7,23457.5,84.6,82.9,0.22,566,348,687,3,1
HAB016,Lansdowne Sector 1,Uttarkashi,Uttarakhand,30.191,79.9026,3283,582,3.93,1206.0,36.8,North-West,Rocky Slates,Agricultural-Residential,2987.2,3056.1,1487.9,16248.8,61.9,46.7,0.73,4000,2448,3636,2,4
HAB017,Purola Valley,Chamoli,Uttarakhand,30.1384,80.4408,1612,306,4.43,828.4,28.3,South-West,Rocky Slates,Agricultural-Residential,2494.3,1814.4,2534.5,14346.2,54.0,72.5,0.67,2160,1413,2056,2,3
HAB018,Munsyari Sector 1,Uttarkashi,Uttarakhand,30.5176,80.3977,2854,537,3.15,1005.5,40.1,South,Moraine Soil,Agricultural-Residential,2025.5,1070.0,871.0,10786.2,91.7,70.6,1.89,3117,2028,3248,0,1
HAB019,Bhararisain Sector 1,Pithoragarh,Uttarakhand,30.9429,79.7133,2789,546,2.27,1188.1,23.5,East,Clay-Loam,Agricultural-Residential,2285.5,2233.6,2212.0,19860.1,81.3,70.4,0.6,2117,1442,2498,1,2
